Grupa,Indeks,suma pośrednia,rezerwy długoterminowe,amortyzacja i umorzenia,kapitał własny przypadający akcjonariuszom jednostki dominującej,udziały niekontrolujące,rezerwy na zobowiązania,aktywa biologiczne,dotacje i subwencje rządowe,fundusze z aktualizacji wyceny,pozostałe należności,pozostałe zobowiązania,pozostałe aktywa trwałe,pozostałe aktywa obrotowe,pozostałe zobowiązania finansowe,pozostałe przychody i koszty,pozostałe przychody/koszty,inne zobowiązania krótkoterminowe,inne zobowiązania długoterminowe,pozostałe przychody (koszty) podatkowe,przepływy pieniężne z innych działalności inwestycyjnych,pozostałe składniki kapitału własnego,przepływy pieniężne z innych działalności operacyjnych,zobowiązanie podatkowe za okres,zysk/strata netto za okres,przychód (koszt) podatkowy za okres,przychody przyszłych okresów (z kontraktów z klientami),Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),odroczony przychód (koszt) podatkowy,aktywa z tytułu odroczonego podatku,zobowiązania z tytułu odroczonego podatku,należności z działalności finansowej,zobowiązania z działalności finansowej,zobowiązania finansowe,inwestycje finansowe,zyski/straty z lat ubiegłych,agio emisyjne,rezerwy ze zysków,zmiany w rezerwach,korekta kapitału udziałowego wzajemnego (-),aktywa z tytułu prawa do użytkowania,rzeczowe aktywa trwałe,wartości niematerialne i prawne,zobowiązania z tytułu kontraktów z klientami,zobowiązania z tytułu kontraktów z klientami.1,aktywa z kontraktów z klientami,środki pieniężne i ich ekwiwalenty,inwestycje w stały kapitał,aktywa trwałe przeznaczone do sprzedaży,zobowiązania związane z aktywami trwałymi przeznaczonymi do sprzedaży,zapasy,należności handlowe,zobowiązania handlowe,różnice kursowe,nieruchomości inwestycyjne,przychody z działalności inwestycyjnej,koszty działalności inwestycyjnej,rezerwy na świadczenia pracownicze,kapitał wpłacony,inwestycje wyceniane metodą praw własności,zmiany w kapitale obrotowym,wartość firmy,pozostałe wpływy/wyjścia gotówkowe,zysk przed korektami,korekty,gotówka z działalności podstawowej,wpływ różnic kursowych na gotówkę i jej ekwiwalenty,gotówka z działalności inwestycyjnej,netto gotówki z działalności operacyjnej,zysk operacyjny przed zmianą kapitału obrotowego,przychody finansowe z działalności pozostałej,koszty finansowe z działalności pozostałej,koszty amortyzacji,udziały jednostki dominującej,koszty badań i rozwoju,udziały niekontrolujące.1,zysk (strata) brutto,działalność zaniechana,pozostałe przychody operacyjne,pozostałe koszty operacyjne,gotówka z innych działalności finansowych,pozostałe przychody i koszty.1,wzrost gotówki i jej ekwiwalentów,aktywa trwałe,zysk (strata) netto działalności zaniechanej,zysk (strata) netto za okres,stan gotówki na początek okresu,rozkład zysku/straty okresu,stan gotówki na koniec okresu,aktywa obrotowe,zysk (strata) z działalności operacyjnej,pozostałe przychody i koszty przed zyskiem operacyjnym,"przychody z odsetek, opłat, prowizji i inne","koszty z odsetek, opłat, prowizji i inne",zysk (strata) brutto z działalności sektora finansowego,inne zyski (straty) z działalności sektora finansowego,zmiana zobowiązań finansowych,gotówka z działalności finansowej,zysk/strata operacyjna przed kosztami finansowymi,koszty finansowe,koszty ogólnego zarządu,zysk na akcję,źródła (pasywa),odprawy pracownicze,zobowiązania krótkoterminowe,zmiana gotówki i jej ekwiwalentów,zysk/strata z działalności operacyjnej netto,netto YPP (w tym zabezpieczenia),netto pozycja walutowa,netto monetarna pozycja aktywów/(zobowiązań) walutowych,koszty sprzedaży i dystrybucji,przychody ze sprzedaży,koszt własny sprzedaży,wolne przepływy pieniężne,zwiększenie kapitału,rozwodniony zysk na akcję,zysk/strata,zysk (strata) przed opodatkowaniem z działalności kontynuowanej,działalność kontynuowana,przychody (koszty) podatkowe działalności kontynuowanej,zysk na akcję z działalności kontynuowanej,rozwodniony zysk na akcję z działalności kontynuowanej,suma pasywów,suma aktywów,wypłaty dywidend,zysk (strata) brutto z działalności handlowej,inne zyski (straty) z działalności handlowej,zobowiązania długoterminowe,pozostałe przychody i koszty przed opodatkowaniem,wpływ różnic kursowych na netto gotówkę i ekwiwalenty,sprzedaż zagraniczna,sprzedaż krajowa,udział w zyskach/stratach inwestycji wycenianych metodą praw własności,kapitał własny
0,2780.257206208426,0.271762547782743,0.3159691038719376,0.472479379141257,0.6671926581812774,0.2472251649276068,0.3234622314508227,0.0139087659213406,0.2619200248998957,-0.1017118854410337,0.319934028308725,0.3200886624681553,0.4205849112076128,0.1695285253586932,0.2556111168394672,-0.1940085139025975,0.0827336255883548,0.1600758206519197,0.2176149367875038,-0.0172354827063898,-0.0739808788935508,0.608717774080739,-0.3859750742267714,0.3256563387844539,0.57341370764464,-0.3598548199236558,0.2015783426661263,0.4117200161608023,-0.0412514589647105,0.2948829411597258,0.7017239086276564,0.1412359149928072,0.1474653737428548,0.2973724785826258,0.3193648774484481,0.4546352787943684,0.4772116328791193,0.590843961866713,0.3517361340942542,-0.2173987198071435,0.1676432662221585,0.6065561527191295,0.4306638709904866,0.2069737119482857,0.2285575829327003,0.2912903086810631,0.3921553083594294,-0.5347852445011408,0.1476742985731717,0.1050696629574433,0.4615215743986613,0.4337851557103461,0.4246381230033998,0.1595410724449,0.5743457381988619,0.4824478937230999,-0.1540429804757107,0.2596825808057327,0.9218468854269304,0.3093909887706211,-0.0552592884139868,0.266855093966801,-0.0689455793598462,0.4875324191222126,0.2222497053128844,0.3630756108864146,-0.001505297779781,-0.350092508088432,0.3354509886005715,0.3861328632561596,0.3507616975065589,-0.3142278841839436,0.0747285165230822,0.5747222063351091,-0.2249980460702504,0.1871469105900659,0.4081347972794294,0.0,0.5661153309318404,-0.3726849721094555,-0.3673660069692538,-0.0423991704066742,-0.0765345695092233,0.4680844775578037,0.1131891536754453,0.5063136083178507,0.2514203023960179,0.0,0.2804486336846005,0.2721964151508093,0.4319359160285665,0.1175592043109251,0.1206001068189011,-0.0961917317800808,0.1554380352732169,0.0706796521856112,0.2415340369986098,-0.1072532218716699,0.4377105798739591,-0.3141050586886151,-0.310298839086545,-0.0269929590157709,0.0,0.3970617658749729,0.2308593444052339,0.1606202430300869,0.3707613388970519,-0.0889539242548133,-0.2067569023712192,-0.1016015999005546,-0.3922786457069915,0.4180758905850254,-0.3954397181269703,0.246438186719142,0.412150536943067,-0.0212623492641069,0.5030833878377549,0.492015160921597,0.0,-0.32069838309034,-0.0219122132188792,-0.0211180748892418,0.3635804608136253,0.3635804608126433,-0.3092353811015818,0.4898837572182972,-0.0423150740202659,0.4716093262181625,0.4232706553032372,0.2253383835540922,0.3043029247570225,0.3396011887149099,0.1944977004843308,0.5831430311119074
1,2739.21726700972,-0.0771247497272516,-0.0843908229990517,-0.1155884360260049,-0.1671384692807303,-0.057816537177623,-0.0856026469745861,0.0108592337004253,-0.0691669624077789,-0.0247056050151144,-0.0960622488986976,-0.0785159205932068,-0.0991760269916475,-0.0481491068096066,-0.0752741796447966,0.0373758348375267,-0.0396621697067356,-0.052742577235017,-0.063780553835684,-0.0167656201095483,0.0204619788074198,-0.1514735966416525,0.0855650310141335,-0.0829155806308751,-0.1287315813834643,0.0859275460135098,-0.0580993396004193,-0.0922594962094601,-0.0012552318981436,-0.0859342706016451,-0.1587920834027611,-0.0383866415159907,-0.0386511122078786,-0.0890362753084747,-0.0763277263394952,-0.1137904854083617,-0.1372654452442039,-0.1490276042678369,-0.0852120613860986,0.0521950516287824,-0.0311672208422479,-0.1567046131373517,-0.0955279243988031,-0.0507995449316079,-0.0567275626531426,-0.0702230432162713,-0.1031942523280212,0.1355049006775059,-0.0353864281157181,-0.0255015958611251,-0.1383538843858507,-0.1481200097543452,-0.1270133691191808,-0.0387193961960015,-0.1307850188841935,-0.1155391591073594,0.0614210398847997,-0.0795348680199367,-0.2825282077066476,-0.078427675387838,0.0427293533185319,-0.0668033665203614,0.0151624933917806,-0.1052849151681294,-0.0684076823622385,-0.0842141480647308,-0.0113249930554736,0.0894100361184835,-0.0784546461412396,-0.0963923300251415,-0.1042811651328842,0.1010274200192613,-0.0152287556968394,-0.1289385951481199,0.0982829442471279,-0.0341971978038197,-0.1070268199992252,0.0,-0.160763497968066,0.1104269581256735,0.0992049896850079,0.0021597184269812,0.0161099485016845,-0.1155745790574126,-0.0236590966720913,-0.1109684262887204,-0.0707610977261435,0.0,-0.076236364726575,-0.0772086410715528,-0.1067113533140714,-0.0239769388536171,-0.0355480260779764,0.0319858313172987,-0.0374992184687076,-0.0080483786782706,-0.0753234510325814,0.0188594669154615,-0.1047485091997515,0.1009507828701479,0.0866600085634497,-0.0027667893178329,0.0,-0.109149196175892,-0.0648564843962414,-0.0391709175051205,-0.0923855337519817,0.0318253601220924,0.0597394678037944,0.0414417697284758,0.1046521437067814,-0.1240620940604317,0.1202535862818398,-0.0507380691037249,-0.1140288456946585,-0.0293945214295306,-0.1103079852929237,-0.1080117443643509,0.0,0.0707765303154074,-0.027778760861268,-0.0297101390506886,-0.0954942535120205,-0.0954942535098895,0.0852555346081452,-0.1304454882650095,-0.0164732397460956,-0.1193849763208866,-0.0932033802475689,-0.0474042977107222,-0.0930441041450202,-0.0972655492523848,-0.0489836141206849,-0.1446809385188531
2,2616.674253200569,-0.0569366817781141,-0.0705579888737408,-0.1091464571374632,-0.1375205920586008,-0.0505602550524272,-0.0745516694873235,-0.0395604726392752,-0.0386048326450679,0.0803789339388738,-0.0562305201548626,-0.0686755074563933,-0.0792240689752064,-0.0308960832581632,-0.0618647764814315,0.0389424713221046,-0.0243164621334902,-0.0295477730367578,-0.018591230239127,-0.0263890575164876,2.390951413316153e-05,-0.1299148018801094,0.0837935855668494,-0.0640897991917526,-0.1196094466276328,0.0744929038613807,-0.0545260735789552,-0.0901869342762229,-0.0078743330595202,-0.0716031070167348,-0.1468753645486176,-0.0257951000453205,-0.0248470925105846,-0.0630638207334936,-0.0687721660792472,-0.1044724724560253,-0.1243327481325036,-0.1221216621141078,-0.0788471682306547,-0.0037227617183304,-0.0384322330560322,-0.1266015218327185,-0.0927930392534385,-0.0567790915579887,-0.0500670247563964,-0.0702465558075859,-0.0811256494818214,0.1194326355797689,-0.0216663733759586,-0.0109170987964598,-0.1100257573749368,-0.110570042050285,-0.1039299975788612,-0.0166110716333615,-0.0941996263840001,-0.1029379489813404,0.0665094500699785,-0.0056230766326092,0.010937542665094,-0.0543724036778088,0.0512974806528118,-0.0591172283776556,0.0151624933917805,-0.1010724618369984,-0.056651589267164,-0.072951750984245,0.0225485597153281,0.0673845507397097,-0.0666523585891735,-0.0867850839003748,-0.0680442304414342,0.06379507875579,-0.015058134806192,-0.118931605362404,0.0862482786494981,-0.029012633152086,-0.0902961503985445,0.0,-0.1310066907730893,0.0820624142978387,0.0936991978155807,0.0793793598026727,0.0142057589880147,-0.0905427320651493,-0.0270001209781431,-0.1015001496110584,-0.0600778550069276,0.0,-0.0587034391027297,-0.0569716305225946,-0.0888370826376475,-0.0236425991923111,-0.0293371936742416,0.0276367700519572,-0.0281281191503697,-0.045987549946244,-0.0688789990333907,0.0204312959262813,-0.0925276908718367,0.0640252611510767,0.0707724882961046,-0.0235129057148371,0.0,-0.0883465918785795,-0.0463499619940033,-0.0230904596411188,-0.0742444161902223,0.0164033758486967,0.0338341081030721,0.0314947448381903,0.0962303917958319,-0.1084002102072774,0.1054129174983509,-0.0509600669422895,-0.0829616914628143,0.1396819905230891,-0.1006763228877139,-0.0968121975999715,0.0,0.0580190502396994,0.1381987669554534,0.1398574443526979,-0.0728004686165468,-0.072800468617573,0.0765821374935892,-0.1122413119568095,-0.0429785314472529,-0.0875404840408159,-0.0752001186450719,-0.0468590420760123,-0.083171823201496,-0.0830222784426416,-0.0334472699808005,-0.1200162874209924
3,2682.351246105919,-0.0740921365467882,-0.0853619570365578,-0.1170599209935598,-0.1598292140015396,-0.0639371133994401,-0.0842895787272649,-0.0237582931602449,-0.065406701599038,0.0945445007522665,-0.084721333600803,-0.0771343601012945,-0.0990379574134538,-0.0481683858253569,-0.0676865499799221,0.0445048118176998,-0.0337422184801884,-0.0509714545694259,-0.0597514860337952,-0.0172354827063898,0.0245565395791121,-0.140372053285608,0.0888516307231141,-0.0748927805065421,-0.1256350668525687,0.0815066058696799,-0.0559003183170892,-0.0892435004152837,-0.0130134392700542,-0.0883966557102988,-0.1612885331222693,-0.0383920277858248,-0.0386499556334011,-0.0855812666920581,-0.0738534017911542,-0.1141848183402389,-0.1328610574926146,-0.1395549706242602,-0.0867403126044924,0.0956509850683663,-0.038067551344138,-0.1510269407813491,-0.1043809590996754,-0.0548283088412537,-0.051393893072678,-0.0671232142451551,-0.1016675093619213,0.1311102186817268,-0.0287411118631603,-0.0186396297990991,-0.1316415540587891,-0.1265073342105332,-0.1179459188942641,-0.0370515674954989,-0.1216210274226132,-0.1135065941420168,0.0714441058956531,-0.050330256614328,-0.2246766372863827,-0.0751255966387851,0.0486190136083097,-0.0745089613200734,0.0151624933917806,-0.1069726744622848,-0.0654153297946667,-0.0818560718596617,-0.0091418276663474,0.0896363494968212,-0.0754797383020444,-0.0953324458724537,-0.1009544877841856,0.0915222917954424,-0.0152289790972537,-0.1259178612712838,0.0850972808170476,-0.0417601968980308,-0.1040017301685014,0.0,-0.1520805696242894,0.1083031809231288,0.0994239916607844,0.0308110987458915,0.0149136392267143,-0.1153192972331415,-0.0227925917401599,-0.1111500895784076,-0.0710851462177623,0.0,-0.0762756423963452,-0.0741423947745025,-0.1001068228792875,-0.0241467869207236,-0.0354485517253107,0.0328024837916441,-0.0353214320141985,-0.0083802822951286,-0.0817340689389015,0.0101782537402332,-0.1002932641907695,0.0914745719533183,0.0833643391854785,0.0174101130679385,0.0,-0.1027043727344197,-0.0630137846567966,-0.0376118214822793,-0.0879627941193603,0.0301123266045983,0.0592425597288268,0.0413286220175059,0.1058861400411038,-0.1079249533637016,0.1018889520664038,-0.0455011618683056,-0.1059284047759294,-0.0186499143959086,-0.1105244244193107,-0.1055961822577796,0.0,0.0611452572796724,-0.0192610915979388,-0.0185322367797418,-0.0936253587301489,-0.0936253587311772,0.081554721353946,-0.1274578494516191,-0.0063999368310112,-0.120905699524571,-0.0866669557841145,-0.0466311511209577,-0.0933267559808063,-0.0920991743323091,-0.0482592821887126,-0.14131810747181
4,2703.3486005089057,0.0317075824287777,0.027738469142537,0.0038456393733289,-0.009650010066592,-0.0053904100945305,0.0236561571568777,0.0340688983207021,-0.0052893676919247,-0.0546403380225074,0.0352985086535012,-0.0051860411155858,-0.0293250138580534,0.018913755555608,0.0400684234735579,0.0319397057200281,0.07018178873383,0.0433559916895637,0.0064301000022681,0.1088439468217041,-0.0007692791096821,-0.0159901902724408,0.0324477012809851,-0.0095486107607814,-0.059372470277178,0.0219831758807749,0.0380406085514453,-0.0407373109125811,0.0784340060300444,0.0612632525712381,-0.0570989235420417,0.0091256484692304,0.0021387750683884,0.0530721148107412,-0.014497869512939,0.0114452829416757,0.0860456623827155,-0.0092262887933336,-0.001814220023425,-0.0195855768097879,-0.0264709428944419,0.0125727486465991,-0.0281448012477881,0.0158694221698021,-0.0073225898420908,-0.0055397201291961,0.0182380060915159,-0.0088148146880962,-0.0243973364160466,-0.02361646273607,0.0916849192485068,0.1373458566123318,0.0809518368938364,-0.0215445640916275,-0.0851566428350271,-0.0190612797038576,-0.1360928826191314,-0.0337787930717299,-0.0719699053358908,-0.0091801548957656,-0.1569703602756909,0.0170034493263666,0.0070506835507491,-0.0600560696414675,0.0547012124306643,-0.0302994641788825,0.021694224802927,-0.0038920137396904,-0.0274644065504745,0.004726612009047,0.0552943549385765,-0.0707709530667169,-0.0135243641990087,-0.0605577286998831,-0.1766489572424268,-0.0445033593770614,0.0204436848589471,0.0,0.0736749166115739,-0.0683537741421787,-0.0453897328621027,-0.0774789269121798,0.0149136392267143,-0.0106243533035244,-0.0158652464297248,-0.0617554413848339,0.0387889401721296,0.0,0.024909894210428,0.0315097174503328,-0.0152397069213542,-0.0209637590268114,0.0248501130127517,-0.0390907321161828,-0.0120765753762477,-0.0083802822951286,0.0855540652942268,0.0462151649547946,-0.0226288582087737,-0.0708692942493967,-0.0362235024271326,0.0297223296277518,0.0,0.0340105597634174,0.0237819151865352,-0.015067878607798,-0.0098045507912716,-0.0325978571980107,-0.0227002899977994,-0.071302504372175,-0.0417417686522921,0.0695434314232968,-0.0745134759682111,-0.0499973825177061,0.0280035720457554,-0.0046568603523041,-0.0612770147682864,-0.0651916810766685,0.0,0.0587581264125074,-0.0051814535472561,-0.0044692806679483,0.0133124221190557,0.0133124221180382,-0.0365586783110427,0.0366864261655392,0.1341110936140441,0.0002501142578767,-0.069505552666963,-0.0350239194032968,0.0846746137516707,0.0514213422511889,-0.0054532259707102,-0.0090638073062397
