Cluster,Unnamed: 0,(SubTotal),Przepisy długoterminowe,Amortyzacja i straż pożarna,Kapitał partnerstwa głównego,Akcje mniejszościowe,Przepisy zadłużenia,Żywe istoty,Zachęta państwowa i pomoc,Zwiększenie wartości fundusze,Inne należności,Inne długi,Inne stałe aktywa,Inne obracające się zasoby,Inne obowiązki finansowe,Inne dochody i wydatki,Inne dochody/ wydatki,Inne zobowiązania krótkoterminowe,Inne długoterminowe obowiązki,Inne dochody podatkowe (wydatki),Gotówka z innych działań inwestycyjnych,Inne ołówki Selfer,Gotówka z innych działalności biznesowej,Zobowiązanie podatkowe zysków terminowych,Śnieg netto/uszkodzenie tego okresu,Dochody podatkowe (wydatki),Odponowane przychody (Word Klient Word. Dogan Load. Zewnętrzna. Kal.),Odkładane przychody (Word Client Word.doğan Yür.,Odroczone dochody podatkowe (wydatki),Przełożona obecność podatkowa,Odkładany obowiązek podatkowy,Otrzymają z działalności sektora finansowego,Długi z działalności sektora finansowego,Długi finansowe,Inwestycje finansowe,Minione lata śnieg/straty,Zapasy premii eksportowe,Ograniczone kopie zapasowe oddzielone od śniegu,Zmiana przepisów,Korekta kapitału wzajemnego uczestnictwa (-),Prawo do używania aktywów,Materialne zasoby stojące,Istoty niematerialne,Obietnica klienta. Obciążenie Dogan.,Słowo klienta.,Aktywa wynikające z umów o klienta,Gotówka i gotówka,Stałe inwestycje kapitałowe,Stałe aktywa trzymane ręcznie na sprzedaż,Zobowiązania do stałych aktywów posiadanych do celów sprzedaży,Dyby,Należności komercyjne,Długi handlowe,Różnice w cyklu walut obcych,Nieruchomości do celów inwestycyjnych,Dochód z działalności inwestycyjnej,Wydatki z działalności inwestycyjnej (-),Relacje z korzyściami udzielonymi pracownikom.,Płatny kapitał,Inwestycje oceniane metodą siebie,Zmiany kapitału obrotowego,Honor,Inne wejście/wyjście gotówkowe,Śnieg przed korektą,Korekty:,Gotówka (+),Yab.i Cycle Cycle. Gotówka i gotówka Benz. Wpływ na,Gotówka spowodowana działalnością inwestycyjną,Gotówka netto pochodząca z działalności gospodarczej,Przed zmianami kapitału obrotowego (+),(Głównie poza działalnością) dochód finansowy,(Głównie poza działalnością) Koszty finansowe (-),Koszty amortyzacji,Główne akcje partnerstwa,Koszty badań i rozwoju (-),Akcje mniejszościowe.1,Rażący śnieg (uszkodzenie),Zatrzymane zajęcia,Inne dochody z działalności,Inne wydatki na działalność (-),Gotówka z innych działań finansowych,Inne dochody i wydatki.1,Wzrost innych gotówki i gotówki podobny,Aktywa stojące,Zatrzymane zajęcia po okresie żona (szkody),Z okresem żony (szkody),Wartości gotówkowe na początku okresu,Rozkład okresu śniegu/uszkodzenia,Koniec okresu gotówki,Obracające się aktywa,Zysk aktywności (szkody),Inne dochody i wydatki przed zyskiem operacyjnym,"Odsetki, płace, składki, prowizja i inne dochody","Odsetki, wynagrodzenie, premia, prowizja i inne wydatki (-)",Zysk brutto z działalności sektora finansowego (strata),Inny zysk z działań sektorowych (szkody),Zmiana długów finansowych,Gotówka spowodowana działaniami finansowymi,Zysk/strata aktywności przed kosztem finansowania,Wydatki finansowania,Ogólne wydatki na zarządzanie (-),Zarabianie na akcję,Zasoby,Odprawa pieniężna,Obowiązki krótkoterminowe,Zmiana gotówki i tym podobnych,Zysk/strata aktywności netto,Net YPP (w tym hedging),Pozycja waluty obcej netto,Pozycja majątkowa waluta pieniężna/(obowiązek),"Koszty marketingu, sprzedaży i dystrybucji (-)",Przychody ze sprzedaży,Koszt sprzedaży (-),Bezpłatny prąd gotówki,Wzrost kapitału,Zarabianie za rozwodniony udział,Kontynuacja działań Zysk/strata z okresu,Kontynuacja działań przed -wartościowych zysków (straty),Kontynuowane działania,Ochody podatkowe (wydatki),Zysk na akcję z przeprowadzonych działań,Zarabianie na akcję z bieżących działań,Całkowite zasoby,Aktywa ogółem,Płatności dywidendy,Zysk brutto z działalności handlowej (szkody),Inne zyski z działalności handlowej (szkody),Zobowiązania długoterminowe,Inne dochody i wydatki przed opodatkowaniem,Yab. Money Trans. Różnica. Efekt. Poprzedni.nak.ve nak. Tak jak. Wzrost/spadek netto,Sprzedaż zagraniczna,Sprzedaż krajowa,Akcje zysków/strat inwestycji cenianych metodą samowystarczalności,Samo -właściwość
0,2780.257206208426,0.271762547782743,0.3159691038719376,0.472479379141257,0.6671926581812774,0.2472251649276068,0.3234622314508227,0.013908765921340627,0.2619200248998957,-0.10171188544103378,0.319934028308725,0.32008866246815537,0.4205849112076128,0.16952852535869328,0.2556111168394672,-0.19400851390259752,0.08273362558835487,0.1600758206519197,0.21761493678750388,-0.0172354827063898,-0.07398087889355082,0.608717774080739,-0.38597507422677146,0.3256563387844539,0.57341370764464,-0.35985481992365587,0.2015783426661263,0.41172001616080234,-0.041251458964710594,0.2948829411597258,0.7017239086276564,0.14123591499280727,0.1474653737428548,0.2973724785826258,0.31936487744844816,0.4546352787943684,0.4772116328791193,0.590843961866713,0.3517361340942542,-0.2173987198071435,0.16764326622215855,0.6065561527191295,0.4306638709904866,0.20697371194828573,0.2285575829327003,0.29129030868106315,0.39215530835942947,-0.5347852445011408,0.14767429857317174,0.10506966295744331,0.4615215743986613,0.4337851557103461,0.42463812300339987,0.15954107244490004,0.5743457381988619,0.4824478937230999,-0.15404298047571077,0.2596825808057327,0.9218468854269305,0.3093909887706211,-0.055259288413986876,0.266855093966801,-0.0689455793598462,0.4875324191222126,0.22224970531288446,0.36307561088641466,-0.0015052977797810024,-0.350092508088432,0.33545098860057154,0.38613286325615964,0.35076169750655894,-0.3142278841839436,0.07472851652308228,0.5747222063351091,-0.2249980460702504,0.18714691059006594,0.4081347972794294,0.0,0.5661153309318404,-0.3726849721094555,-0.36736600696925387,-0.04239917040667423,-0.07653456950922335,0.4680844775578037,0.11318915367544534,0.5063136083178507,0.2514203023960179,0.0,0.28044863368460055,0.2721964151508093,0.43193591602856657,0.11755920431092517,0.12060010681890111,-0.09619173178008081,0.15543803527321695,0.07067965218561124,0.24153403699860987,-0.10725322187166995,0.4377105798739591,-0.3141050586886151,-0.310298839086545,-0.026992959015770944,0.0,0.39706176587497294,0.23085934440523398,0.16062024303008696,0.37076133889705193,-0.08895392425481331,-0.20675690237121921,-0.10160159990055469,-0.39227864570699156,0.4180758905850254,-0.3954397181269703,0.24643818671914203,0.412150536943067,-0.021262349264106927,0.5030833878377549,0.49201516092159703,0.0,-0.32069838309034004,-0.02191221321887922,-0.021118074889241886,0.3635804608136253,0.36358046081264334,-0.30923538110158183,0.4898837572182972,-0.0423150740202659,0.4716093262181625,0.4232706553032372,0.22533838355409222,0.30430292475702253,0.33960118871490996,0.19449770048433082,0.5831430311119074
1,2739.2172670097198,-0.07712474972725161,-0.08439082299905178,-0.11558843602600494,-0.16713846928073037,-0.05781653717762305,-0.08560264697458615,0.010859233700425314,-0.06916696240777899,-0.0247056050151144,-0.09606224889869762,-0.07851592059320689,-0.09917602699164758,-0.04814910680960663,-0.07527417964479666,0.03737583483752678,-0.03966216970673568,-0.052742577235017,-0.06378055383568407,-0.016765620109548327,0.020461978807419835,-0.15147359664165255,0.08556503101413356,-0.08291558063087517,-0.1287315813834643,0.08592754601350981,-0.05809933960041934,-0.09225949620946017,-0.0012552318981436821,-0.08593427060164514,-0.1587920834027611,-0.0383866415159907,-0.038651112207878695,-0.08903627530847472,-0.0763277263394952,-0.11379048540836174,-0.13726544524420392,-0.1490276042678369,-0.08521206138609866,0.05219505162878244,-0.031167220842247965,-0.15670461313735176,-0.0955279243988031,-0.0507995449316079,-0.056727562653142674,-0.07022304321627139,-0.10319425232802125,0.13550490067750595,-0.03538642811571814,-0.025501595861125166,-0.13835388438585078,-0.14812000975434522,-0.12701336911918085,-0.0387193961960015,-0.13078501888419355,-0.11553915910735947,0.06142103988479976,-0.07953486801993678,-0.28252820770664766,-0.07842767538783804,0.042729353318531955,-0.06680336652036145,0.0151624933917806,-0.10528491516812945,-0.06840768236223857,-0.08421414806473088,-0.011324993055473643,0.08941003611848357,-0.07845464614123968,-0.09639233002514155,-0.10428116513288421,0.10102742001926131,-0.015228755696839468,-0.1289385951481199,0.09828294424712795,-0.034197197803819794,-0.10702681999922525,0.0,-0.16076349796806608,0.11042695812567353,0.09920498968500799,0.0021597184269812105,0.016109948501684502,-0.11557457905741267,-0.02365909667209134,-0.11096842628872046,-0.07076109772614354,0.0,-0.076236364726575,-0.07720864107155288,-0.10671135331407149,-0.023976938853617184,-0.03554802607797643,0.03198583131729875,-0.03749921846870768,-0.00804837867827061,-0.0753234510325814,0.018859466915461563,-0.10474850919975152,0.10095078287014791,0.08666000856344976,-0.002766789317832925,0.0,-0.10914919617589208,-0.06485648439624143,-0.03917091750512055,-0.09238553375198177,0.03182536012209244,0.05973946780379446,0.04144176972847588,0.1046521437067814,-0.12406209406043178,0.12025358628183981,-0.050738069103724956,-0.11402884569465854,-0.029394521429530696,-0.11030798529292371,-0.10801174436435093,0.0,0.07077653031540743,-0.027778760861268084,-0.029710139050688693,-0.09549425351202057,-0.09549425350988952,0.08525553460814528,-0.13044548826500957,-0.016473239746095658,-0.11938497632088661,-0.09320338024756895,-0.04740429771072227,-0.0930441041450202,-0.0972655492523848,-0.04898361412068499,-0.1446809385188531
2,2616.674253200569,-0.0569366817781141,-0.07055798887374082,-0.10914645713746328,-0.13752059205860087,-0.05056025505242729,-0.0745516694873235,-0.03956047263927526,-0.03860483264506797,0.08037893393887384,-0.0562305201548626,-0.06867550745639331,-0.07922406897520644,-0.030896083258163207,-0.06186477648143159,0.038942471322104696,-0.024316462133490268,-0.02954777303675789,-0.018591230239127027,-0.026389057516487697,2.390951413316153e-05,-0.12991480188010945,0.08379358556684943,-0.06408979919175264,-0.11960944662763288,0.0744929038613807,-0.05452607357895529,-0.09018693427622296,-0.007874333059520256,-0.0716031070167348,-0.14687536454861763,-0.025795100045320523,-0.024847092510584652,-0.0630638207334936,-0.06877216607924723,-0.10447247245602531,-0.12433274813250365,-0.12212166211410783,-0.07884716823065471,-0.0037227617183304648,-0.0384322330560322,-0.1266015218327185,-0.09279303925343858,-0.05677909155798874,-0.05006702475639646,-0.0702465558075859,-0.08112564948182142,0.1194326355797689,-0.021666373375958614,-0.010917098796459895,-0.11002575737493682,-0.11057004205028503,-0.10392999757886122,-0.01661107163336155,-0.09419962638400013,-0.10293794898134048,0.06650945006997859,-0.005623076632609215,0.010937542665094058,-0.05437240367780882,0.051297480652811867,-0.05911722837765566,0.015162493391780598,-0.10107246183699849,-0.056651589267164085,-0.07295175098424501,0.022548559715328105,0.06738455073970978,-0.06665235858917354,-0.08678508390037487,-0.06804423044143423,0.06379507875579,-0.015058134806192093,-0.11893160536240406,0.08624827864949813,-0.029012633152086017,-0.09029615039854454,0.0,-0.13100669077308938,0.08206241429783873,0.09369919781558075,0.07937935980267279,0.01420575898801479,-0.09054273206514936,-0.027000120978143166,-0.10150014961105844,-0.06007785500692761,0.0,-0.05870343910272972,-0.056971630522594685,-0.08883708263764759,-0.02364259919231112,-0.029337193674241698,0.02763677005195722,-0.028128119150369772,-0.04598754994624404,-0.06887899903339072,0.020431295926281387,-0.0925276908718367,0.06402526115107676,0.07077248829610465,-0.02351290571483719,0.0,-0.08834659187857957,-0.0463499619940033,-0.023090459641118808,-0.07424441619022239,0.01640337584869677,0.033834108103072184,0.03149474483819033,0.0962303917958319,-0.10840021020727746,0.1054129174983509,-0.05096006694228956,-0.08296169146281437,0.13968199052308913,-0.10067632288771397,-0.09681219759997155,0.0,0.05801905023969942,0.13819876695545347,0.13985744435269798,-0.07280046861654683,-0.07280046861757301,0.07658213749358925,-0.11224131195680953,-0.04297853144725295,-0.08754048404081592,-0.07520011864507196,-0.046859042076012374,-0.08317182320149609,-0.08302227844264164,-0.03344726998080057,-0.12001628742099248
3,2682.351246105919,-0.07409213654678821,-0.08536195703655787,-0.11705992099355987,-0.15982921400153965,-0.06393711339944015,-0.08428957872726492,-0.02375829316024493,-0.06540670159903801,0.09454450075226654,-0.08472133360080307,-0.0771343601012945,-0.09903795741345389,-0.0481683858253569,-0.06768654997992216,0.044504811817699864,-0.03374221848018844,-0.05097145456942597,-0.05975148603379527,-0.0172354827063898,0.024556539579112156,-0.140372053285608,0.08885163072311414,-0.07489278050654219,-0.12563506685256873,0.08150660586967996,-0.055900318317089207,-0.08924350041528374,-0.013013439270054269,-0.0883966557102988,-0.1612885331222693,-0.038392027785824824,-0.03864995563340119,-0.08558126669205814,-0.07385340179115421,-0.11418481834023891,-0.1328610574926146,-0.1395549706242602,-0.08674031260449243,0.0956509850683663,-0.03806755134413804,-0.15102694078134912,-0.10438095909967543,-0.05482830884125379,-0.051393893072678,-0.06712321424515515,-0.10166750936192138,0.1311102186817268,-0.028741111863160352,-0.018639629799099108,-0.1316415540587891,-0.1265073342105332,-0.11794591889426416,-0.03705156749549893,-0.12162102742261324,-0.11350659414201683,0.07144410589565316,-0.05033025661432807,-0.22467663728638274,-0.0751255966387851,0.04861901360830979,-0.07450896132007341,0.0151624933917806,-0.10697267446228487,-0.06541532979466678,-0.08185607185966172,-0.009141827666347429,0.08963634949682121,-0.07547973830204449,-0.09533244587245375,-0.10095448778418568,0.09152229179544241,-0.015228979097253766,-0.1259178612712838,0.0850972808170476,-0.04176019689803084,-0.10400173016850142,0.0,-0.15208056962428942,0.10830318092312885,0.09942399166078447,0.030811098745891573,0.014913639226714301,-0.11531929723314154,-0.022792591740159907,-0.11115008957840765,-0.0710851462177623,0.0,-0.07627564239634527,-0.07414239477450259,-0.10010682287928753,-0.024146786920723685,-0.035448551725310744,0.032802483791644105,-0.03532143201419858,-0.0083802822951286,-0.08173406893890156,0.01017825374023327,-0.10029326419076953,0.09147457195331833,0.08336433918547853,0.017410113067938535,0.0,-0.1027043727344197,-0.06301378465679669,-0.03761182148227936,-0.08796279411936034,0.030112326604598373,0.059242559728826805,0.04132862201750594,0.10588614004110383,-0.10792495336370167,0.10188895206640385,-0.04550116186830567,-0.10592840477592946,-0.018649914395908653,-0.11052442441931074,-0.10559618225777968,0.0,0.061145257279672474,-0.01926109159793888,-0.018532236779741855,-0.09362535873014892,-0.09362535873117722,0.08155472135394606,-0.1274578494516191,-0.006399936831011251,-0.12090569952457104,-0.08666695578411457,-0.04663115112095777,-0.09332675598080635,-0.09209917433230919,-0.048259282188712664,-0.14131810747181
4,2703.3486005089057,0.03170758242877779,0.027738469142537032,0.0038456393733289013,-0.009650010066592028,-0.005390410094530522,0.023656157156877706,0.034068898320702104,-0.005289367691924732,-0.05464033802250741,0.03529850865350122,-0.00518604111558582,-0.02932501385805346,0.018913755555608005,0.040068423473557956,0.031939705720028126,0.07018178873383003,0.043355991689563764,0.006430100002268124,0.10884394682170417,-0.0007692791096821559,-0.015990190272440856,0.0324477012809851,-0.009548610760781494,-0.05937247027717801,0.0219831758807749,0.03804060855144533,-0.040737310912581114,0.0784340060300444,0.06126325257123818,-0.05709892354204179,0.009125648469230443,0.002138775068388463,0.05307211481074129,-0.014497869512939077,0.011445282941675796,0.08604566238271551,-0.009226288793333683,-0.0018142200234250248,-0.019585576809787928,-0.026470942894441955,0.012572748646599114,-0.028144801247788148,0.015869422169802104,-0.007322589842090818,-0.00553972012919617,0.01823800609151599,-0.008814814688096216,-0.024397336416046692,-0.023616462736070057,0.09168491924850687,0.13734585661233187,0.0809518368938364,-0.021544564091627506,-0.08515664283502715,-0.019061279703857664,-0.13609288261913144,-0.03377879307172998,-0.07196990533589082,-0.009180154895765607,-0.1569703602756909,0.017003449326366642,0.007050683550749132,-0.06005606964146757,0.05470121243066433,-0.030299464178882577,0.021694224802927094,-0.003892013739690454,-0.02746440655047455,0.0047266120090470945,0.05529435493857652,-0.0707709530667169,-0.013524364199008737,-0.0605577286998831,-0.1766489572424268,-0.044503359377061485,0.0204436848589471,0.0,0.07367491661157392,-0.0683537741421787,-0.04538973286210271,-0.07747892691217982,0.0149136392267143,-0.010624353303524433,-0.015865246429724804,-0.06175544138483394,0.03878894017212967,0.0,0.024909894210428017,0.031509717450332826,-0.015239706921354223,-0.020963759026811482,0.024850113012751782,-0.03909073211618281,-0.012076575376247763,-0.0083802822951286,0.08555406529422682,0.04621516495479464,-0.02262885820877378,-0.07086929424939671,-0.03622350242713262,0.029722329627751846,0.0,0.03401055976341748,0.023781915186535243,-0.015067878607798036,-0.009804550791271628,-0.03259785719801073,-0.02270028999779943,-0.07130250437217509,-0.04174176865229216,0.06954343142329689,-0.07451347596821115,-0.04999738251770611,0.028003572045755407,-0.004656860352304152,-0.06127701476828644,-0.06519168107666855,0.0,0.058758126412507425,-0.0051814535472561206,-0.00446928066794831,0.013312422119055763,0.013312422118038292,-0.03655867831104273,0.03668642616553924,0.13411109361404416,0.0002501142578767506,-0.06950555266696302,-0.03502391940329682,0.08467461375167075,0.05142134225118897,-0.0054532259707102985,-0.00906380730623973
